ID,ACSTOTPOP,DEMOGIDX_2,DEMOGIDX_5,P_PM25,P_D2_PM25,P_D5_PM25,P_OZONE,P_D2_OZONE,P_D5_OZONE,P_DSLPM,P_D2_DSLPM,P_D5_DSLPM,P_CANCER,P_D2_CANCER,P_D5_CANCER,P_RESP,P_D2_RESP,P_D5_RESP,P_RSEIAIR,P_D2_RSEIAIR,P_D5_RSEIAIR,P_PTRAF,P_D2_PTRAF,P_D5_PTRAF,P_LDPNT,P_D2_LDPNT,P_D5_LDPNT,P_PNPL,P_D2_PNPL,P_D5_PNPL,P_PRMP,P_D2_PRMP,P_D5_PRMP,P_PTSDF,P_D2_PTSDF,P_D5_PTSDF,P_UST,P_D2_UST,P_D5_UST,P_PWDIS,P_D2_PWDIS,P_D5_PWDIS
24001000100,3462,0.183593450166240,0.131330858414224,6,7,9,0,0,0,3,5,5,0,0,0,0,0,0,65,44,73,9,11,15,55,44,64,38,31,52,14,14,22,2,2,3,7,9,11,69,46,81
24001000200,4245,0.292411806391488,0.135972311522578,4,7,6,0,0,0,7,15,13,0,0,0,6,33,42,99,77,88,9,16,16,64,65,72,88,67,85,81,67,80,21,27,33,15,23,26,80,73,89
24001000500,2241,0.429700694709883,0.204587854292104,3,8,7,0,0,0,19,34,45,0,0,0,6,42,48,98,89,96,83,79,93,80,81,91,90,82,95,72,76,88,28,43,56,72,74,89,24,37,49
24001000600,2726,0.244972870578774,0.148500516170755,3,4,4,0,0,0,24,28,42,0,0,0,6,29,44,99,70,90,45,40,61,83,67,83,93,64,89,82,61,83,36,35,54,59,49,72,78,63,90
24001000700,3233,0.306277123812773,0.205868310587263,3,5,7,0,0,0,29,36,58,0,0,0,6,34,48,99,79,96,47,47,76,84,72,92,92,70,96,86,70,93,49,49,79,79,64,92,83,77,97
24001000800,1865,0.354060890645753,0.224148008291010,3,7,8,0,0,0,25,35,56,17,55,93,6,38,48,99,84,98,65,62,90,91,79,96,89,74,97,87,76,95,70,66,90,74,68,93,87,84,99
24001001000,2325,0.297555640557043,0.225569007276586,2,3,5,0,0,0,32,37,65,0,0,0,6,33,49,95,76,97,74,61,93,89,73,96,83,66,96,70,62,90,28,34,60,85,66,95,72,68,97
24001001100,1283,0.210054559625877,0.133353603157218,2,2,3,0,0,0,29,28,45,0,0,0,6,26,42,95,63,86,76,51,78,97,67,85,84,56,82,73,52,77,32,29,46,67,48,72,88,62,91
24001001200,3009,0.094838274176671,0.072501716971035,2,0,0,0,0,0,21,15,21,0,0,0,6,10,18,93,35,64,60,25,46,77,33,54,79,32,56,70,29,52,30,16,27,42,22,36,85,30,62
24001001300,5644,0.433846577126295,0.151973774316992,2,5,3,0,0,0,13,27,26,0,0,0,6,42,45,95,88,90,27,41,44,73,79,80,80,77,85,65,73,78,24,39,40,34,49,51,87,90,93
24001001401,3865,0.162672517550466,0.089442269678475,1,0,0,1,0,0,5,6,5,0,0,0,6,20,28,81,47,66,32,24,34,71,49,60,69,43,59,53,35,49,17,16,20,29,25,32,73,43,65
24001001402,1593,0.130058016107806,0.106711819770335,2,0,2,0,0,0,14,14,21,0,0,0,6,15,35,88,43,76,47,27,51,76,43,69,67,37,64,62,33,63,22,17,29,42,27,46,75,36,75
24001001502,2108,0.177893738140417,0.112836092475314,2,2,2,0,0,0,2,3,3,0,0,0,0,0,0,85,53,77,22,21,30,69,51,68,56,40,59,45,33,52,11,12,17,18,19,26,34,22,37
24001001503,1605,0.210591900311526,0.170107721937567,1,0,2,1,0,2,1,0,3,0,0,0,0,0,0,69,51,85,5,8,11,78,60,86,38,34,60,29,27,51,5,7,11,0,0,0,27,21,46
24001001600,1520,0.173368495338558,0.113034896497509,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,38,62,15,16,21,75,52,71,41,31,50,19,16,26,4,5,5,7,9,10,36,23,40
