ID,ACSTOTPOP,DEMOGIDX_2,DEMOGIDX_5,P_PM25,P_D2_PM25,P_D5_PM25,P_OZONE,P_D2_OZONE,P_D5_OZONE,P_DSLPM,P_D2_DSLPM,P_D5_DSLPM,P_CANCER,P_D2_CANCER,P_D5_CANCER,P_RESP,P_D2_RESP,P_D5_RESP,P_RSEIAIR,P_D2_RSEIAIR,P_D5_RSEIAIR,P_PTRAF,P_D2_PTRAF,P_D5_PTRAF,P_LDPNT,P_D2_LDPNT,P_D5_LDPNT,P_PNPL,P_D2_PNPL,P_D5_PNPL,P_PRMP,P_D2_PRMP,P_D5_PRMP,P_PTSDF,P_D2_PTSDF,P_D5_PTSDF,P_UST,P_D2_UST,P_D5_UST,P_PWDIS,P_D2_PWDIS,P_D5_PWDIS
24001000100,3462,0.183593450166240,0.131330858414224,20,18,25,7,7,9,19,18,24,6,20,31,4,14,20,44,34,50,17,17,22,55,42,57,54,43,62,14,13,18,10,10,12,14,16,18,53,40,58
24001000200,4245,0.292411806391488,0.135972311522578,18,24,23,7,10,9,26,36,34,6,32,32,31,50,53,94,77,83,17,25,23,65,65,66,89,73,81,82,70,76,35,43,44,21,31,29,66,65,69
24001000500,2241,0.429700694709883,0.204587854292104,18,33,33,8,16,14,41,60,68,6,40,44,31,61,67,71,80,87,85,81,90,84,84,90,90,85,92,66,75,82,42,60,67,63,73,80,7,14,13
24001000600,2726,0.244972870578774,0.148500516170755,18,21,25,8,10,11,46,46,60,6,28,35,31,46,56,78,65,80,53,48,62,87,69,81,93,69,85,82,64,79,50,48,61,53,51,62,63,56,71
24001000700,3233,0.306277123812773,0.205868310587263,18,25,34,8,12,15,51,56,76,6,34,44,31,52,68,78,73,89,55,56,76,87,76,91,92,76,93,90,74,91,60,60,80,68,65,83,68,67,86
24001000800,1865,0.354060890645753,0.224148008291010,18,28,36,8,14,16,48,59,76,52,72,88,31,56,71,75,76,91,71,69,87,94,82,94,89,79,94,91,79,93,78,73,90,64,67,83,75,75,91
24001001000,2325,0.297555640557043,0.225569007276586,17,23,35,8,12,16,54,57,80,6,33,46,31,51,71,65,65,87,78,66,90,92,77,94,84,72,93,63,62,84,42,48,71,73,66,88,55,59,82
24001001100,1283,0.210054559625877,0.133353603157218,17,17,22,8,9,10,52,45,60,6,24,32,31,42,52,65,52,68,80,56,74,99,68,82,85,62,79,67,52,68,46,41,54,58,49,62,75,57,74
24001001200,3009,0.094838274176671,0.072501716971035,17,9,12,8,4,6,42,21,29,6,8,12,31,31,36,62,26,40,67,30,44,81,33,48,81,35,54,63,28,43,44,22,32,41,22,30,72,30,46
24001001300,5644,0.433846577126295,0.151973774316992,16,30,23,8,17,11,34,54,49,6,41,36,31,61,56,64,78,73,35,53,47,76,81,77,82,82,82,55,70,65,37,56,50,37,57,50,74,81,78
24001001401,3865,0.162672517550466,0.089442269678475,15,13,13,9,8,8,24,20,20,6,17,18,31,37,41,53,36,42,40,30,34,74,48,53,74,49,59,42,31,36,31,26,28,32,28,29,56,38,44
24001001402,1593,0.130058016107806,0.106711819770335,16,11,17,9,7,9,35,24,36,6,12,23,31,35,45,57,32,53,55,33,51,80,43,64,73,42,66,51,31,49,36,24,37,42,29,43,58,32,53
24001001502,2108,0.177893738140417,0.112836092475314,16,14,18,9,8,9,16,15,17,6,20,25,4,14,16,55,40,54,31,27,34,71,50,62,67,49,64,34,28,37,24,22,27,24,24,27,13,11,14
24001001503,1605,0.210591900311526,0.170107721937567,13,14,21,11,11,16,11,12,17,6,24,40,4,17,25,46,40,64,11,13,19,82,62,84,54,48,72,21,21,35,17,19,29,0,0,0,8,8,13
24001001600,1520,0.173368495338558,0.113034896497509,12,11,13,12,10,12,10,9,10,6,19,26,4,13,16,40,30,40,24,22,27,78,53,66,56,42,57,16,14,18,14,13,15,14,15,16,16,13,17
24001001700,3598,0.272372880096008,0.165459867386049,13,17,21,10,13,15,17,24,27,6,31,39,4,21,24,44,47,61,35,39,51,77,69,81,62,60,76,20,26,32,17,24,28,37,44,53,14,17,21
24001001800,4263,0.419097313524729,0.177794279231741,12,23,21,12,24,19,16,33,27,6,40,41,4,25,25,39,59,59,29,46,46,75,80,82,59,72,77,16,31,28,15,30,27,21,40,37,17,31,27
24001001900,2691,0.134186191498444,0.117337483367752,12,9,14,11,8,12,9,7,9,6,13,27,4,9,17,41,24,43,18,14,21,64,36,59,68,40,66,16,11,19,21,15,25,18,15,21,81,44,72
24001002000,4983,0.140778647401163,0.115627273243990,13,10,15,8,6,9,11,8,11,6,14,26,4,10,17,62,37,60,35,25,38,60,36,55,92,52,77,31,21,35,43,30,46,33,25,37,69,40,64
24001002100,3018,0.165534328307521,0.137265353995029,11,10,15,10,9,12,7,7,9,6,18,33,4,13,21,36,26,44,28,24,37,87,55,78,60,43,68,10,8,13,16,14,22,20,19,27,92,56,82
24001002200,3695,0.218433668830327,0.161667800218059,11,13,17,9,10,13,11,13,16,6,25,38,4,17,24,34,32,48,27,28,41,83,64,82,49,46,66,7,8,11,11,13,17,29,32,44,87,64,86
24001002300,5712,0.167718456290986,0.145068588440725,17,14,24,8,7,10,26,23,37,6,18,35,4,13,22,63,43,71,36,29,47,81,53,78,82,54,81,54,39,62,35,29,47,47,37,57,6,5,8
24003701101,4352,0.061810661764706,0.059044686106773,33,11,19,85,25,45,54,18,31,52,44,53,31,27,33,33,9,18,43,15,25,43,12,24,45,12,24,16,5,9,35,12,21,58,21,34,30,9,16
24003701103,4102,0.214895173086299,0.161405907416553,31,29,44,86,63,87,49,44,65,52,60,77,31,43,59,33,31,47,36,34,51,59,50,69,41,39,59,14,15,23,32,32,47,21,25,34,32,30,45
